date,country,continent,new_cases,new_deaths,new_recovered,total_cases,total_deaths,total_recovered,active_cases,cfr,vaccination_pct
2020-01-22,USA,North America,58,4,53,58,4,53,1,6.8966,0.0
2020-01-23,USA,North America,50,1,44,108,5,97,6,4.6296,0.0
2020-01-24,USA,North America,86,2,81,194,7,178,9,3.6082,0.0
2020-01-25,USA,North America,70,5,62,264,12,240,12,4.5455,0.0
2020-01-26,USA,North America,50,2,45,314,14,285,15,4.4586,0.0
2020-01-27,USA,North America,51,2,45,365,16,330,19,4.3836,0.0
2020-01-28,USA,North America,45,2,40,410,18,370,22,4.3902,0.0
2020-01-29,USA,North America,69,3,64,479,21,434,24,4.3841,0.0
2020-01-30,USA,North America,67,4,59,546,25,493,28,4.5788,0.0
2020-01-31,USA,North America,44,2,39,590,27,532,31,4.5763,0.0
2020-02-01,USA,North America,58,4,52,648,31,584,33,4.784,0.0
2020-02-02,USA,North America,65,2,59,713,33,643,37,4.6283,0.0
2020-02-03,USA,North America,94,4,86,807,37,729,41,4.5849,0.0
2020-02-04,USA,North America,52,3,46,859,40,775,44,4.6566,0.0
2020-02-05,USA,North America,98,3,87,957,43,862,52,4.4932,0.0
2020-02-06,USA,North America,85,2,76,1042,45,938,59,4.3186,0.0
2020-02-07,USA,North America,53,4,47,1095,49,985,61,4.4749,0.0
2020-02-08,USA,North America,69,3,63,1164,52,1048,64,4.4674,0.0
2020-02-09,USA,North America,97,3,92,1261,55,1140,66,4.3616,0.0
2020-02-10,USA,North America,80,6,71,1341,61,1211,69,4.5488,0.0
2020-02-11,USA,North America,126,9,111,1467,70,1322,75,4.7716,0.0
2020-02-12,USA,North America,126,6,111,1593,76,1433,84,4.7709,0.0
2020-02-13,USA,North America,108,5,95,1701,81,1528,92,4.7619,0.0
2020-02-14,USA,North America,135,6,121,1836,87,1649,100,4.7386,0.0
2020-02-15,USA,North America,131,10,119,1967,97,1768,102,4.9314,0.0
2020-02-16,USA,North America,159,5,147,2126,102,1915,109,4.7977,0.0
2020-02-17,USA,North America,121,9,110,2247,111,2025,111,4.9399,0.0
2020-02-18,USA,North America,176,10,160,2423,121,2185,117,4.9938,0.0
2020-02-19,USA,North America,117,5,107,2540,126,2292,122,4.9606,0.0
